Initialized at 2012-07-15 11:29:09.000000
USER::  | MESSAGE:: GEOIP CITY - | DATE:: 2012-07-18 09:49:52.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP ADDRESS - 192.168.2.109| DATE:: 2012-07-18 09:49:52.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP DB INFO - GEO-106FREE 20090201 Build 1 Copyright (c) 2007 MaxMind LLC All Rights Reserved| DATE:: 2012-07-18 09:51:37.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP FILTERS FOR FILM - | DATE:: 2012-07-18 09:51:37.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CONTINENT - | DATE:: 2012-07-18 09:51:37.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP COUNTRY - | DATE:: 2012-07-18 09:51:37.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CITY - | DATE:: 2012-07-18 09:51:37.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP ADDRESS - 192.168.2.109| DATE:: 2012-07-18 09:51:37.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP DB INFO - GEO-106FREE 20090201 Build 1 Copyright (c) 2007 MaxMind LLC All Rights Reserved| DATE:: 2012-07-18 09:54:04.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP FILTERS FOR FILM - | DATE:: 2012-07-18 09:54:04.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CONTINENT - | DATE:: 2012-07-18 09:54:04.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP COUNTRY - | DATE:: 2012-07-18 09:54:04.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CITY - | DATE:: 2012-07-18 09:54:04.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP ADDRESS - 192.168.2.109| DATE:: 2012-07-18 09:54:04.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP DB INFO - GEO-106FREE 20090201 Build 1 Copyright (c) 2007 MaxMind LLC All Rights Reserved| DATE:: 2012-07-18 09:54:49.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP FILTERS FOR FILM - | DATE:: 2012-07-18 09:54:49.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CONTINENT - | DATE:: 2012-07-18 09:54:49.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP COUNTRY - | DATE:: 2012-07-18 09:54:49.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CITY - | DATE:: 2012-07-18 09:54:49.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP ADDRESS - 192.168.2.109| DATE:: 2012-07-18 09:54:49.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP DB INFO - GEO-106FREE 20090201 Build 1 Copyright (c) 2007 MaxMind LLC All Rights Reserved| DATE:: 2012-07-18 09:54:57.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP FILTERS FOR FILM - | DATE:: 2012-07-18 09:54:57.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CONTINENT - | DATE:: 2012-07-18 09:54:57.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP COUNTRY - | DATE:: 2012-07-18 09:54:57.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CITY - | DATE:: 2012-07-18 09:54:57.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP ADDRESS - 192.168.2.109| DATE:: 2012-07-18 09:54:57.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP DB INFO - GEO-106FREE 20090201 Build 1 Copyright (c) 2007 MaxMind LLC All Rights Reserved| DATE:: 2012-07-18 09:55:35.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP FILTERS FOR FILM - | DATE:: 2012-07-18 09:55:35.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CONTINENT - | DATE:: 2012-07-18 09:55:35.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP COUNTRY - | DATE:: 2012-07-18 09:55:35.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CITY - | DATE:: 2012-07-18 09:55:35.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP ADDRESS - 192.168.2.109| DATE:: 2012-07-18 09:55:35.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP DB INFO - GEO-106FREE 20090201 Build 1 Copyright (c) 2007 MaxMind LLC All Rights Reserved| DATE:: 2012-07-18 09:57:01.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP FILTERS FOR FILM - | DATE:: 2012-07-18 09:57:01.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CONTINENT - | DATE:: 2012-07-18 09:57:01.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP COUNTRY - | DATE:: 2012-07-18 09:57:01.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CITY - | DATE:: 2012-07-18 09:57:01.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP ADDRESS - 192.168.2.109| DATE:: 2012-07-18 09:57:01.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP DB INFO - GEO-106FREE 20090201 Build 1 Copyright (c) 2007 MaxMind LLC All Rights Reserved| DATE:: 2012-07-18 09:57:48.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP FILTERS FOR FILM - | DATE:: 2012-07-18 09:57:48.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CONTINENT - | DATE:: 2012-07-18 09:57:48.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP COUNTRY - | DATE:: 2012-07-18 09:57:48.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CITY - | DATE:: 2012-07-18 09:57:48.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP ADDRESS - 192.168.2.109| DATE:: 2012-07-18 09:57:48.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP DB INFO - GEO-106FREE 20090201 Build 1 Copyright (c) 2007 MaxMind LLC All Rights Reserved| DATE:: 2012-07-18 09:58:00.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP FILTERS FOR FILM - | DATE:: 2012-07-18 09:58:00.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CONTINENT - | DATE:: 2012-07-18 09:58:00.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP COUNTRY - | DATE:: 2012-07-18 09:58:00.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CITY - | DATE:: 2012-07-18 09:58:00.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP ADDRESS - 192.168.2.109| DATE:: 2012-07-18 09:58:00.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP DB INFO - GEO-106FREE 20090201 Build 1 Copyright (c) 2007 MaxMind LLC All Rights Reserved| DATE:: 2012-07-18 09:58:24.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP FILTERS FOR FILM - | DATE:: 2012-07-18 09:58:24.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CONTINENT - | DATE:: 2012-07-18 09:58:24.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP COUNTRY - | DATE:: 2012-07-18 09:58:24.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP CITY - | DATE:: 2012-07-18 09:58:24.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP ADDRESS - 192.168.2.109| DATE:: 2012-07-18 09:58:24.000000| SERVER:: dev.constellation.tv
