TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: f4m] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [videoView][DEBUG]Change in STATE:loading  MP canPlay false canSeek false seekInto point 517 | DATE:: 2011-11-29 02:08:39.987894 | PORT:: 17092
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: f4m] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [videoView][INFO]media load state change :loading | DATE:: 2011-11-29 02:08:40.007244 | PORT:: 17092
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: f4m] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [videoView][INFO]media load state change :loading | DATE:: 2011-11-29 02:08:40.023739 | PORT:: 17092
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: f4m] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetConnection.Connect.Closed | DATE:: 2011-11-29 02:08:40.041873 | PORT:: 17092
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: f4m] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetConnection.Connect.Success | DATE:: 2011-11-29 02:08:40.064546 | PORT:: 17092
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: f4m] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [videoView][DEBUG]buffer Trait 0 length TIME 0 | DATE:: 2011-11-29 02:08:40.085756 | PORT:: 17092
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: f4m] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [videoView][DEBUG] onDurationChange:  durationChange duration NaN | DATE:: 2011-11-29 02:08:40.101196 | PORT:: 17092
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: f4m] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [videoView][DEBUG]onCanPauseEvent: canPauseChange  canPause: true | DATE:: 2011-11-29 02:08:40.124856 | PORT:: 17092
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: f4m] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [videoView][DEBUG]Change in STATE:ready  MP canPlay true canSeek false seekInto point 517 | DATE:: 2011-11-29 02:08:40.147697 | PORT:: 17092
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: f4m] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [videoView][DEBUG]Change in STATE:playing  MP canPlay true canSeek false seekInto point 517 | DATE:: 2011-11-29 02:08:40.179118 | PORT:: 17092
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: f4m] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [videoView][INFO]media load state change :ready | DATE:: 2011-11-29 02:08:40.193500 | PORT:: 17092
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: f4m] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [videoView][DEBUG]Media loaded   onMediaLoadStateChange  . | DATE:: 2011-11-29 02:08:40.211091 | PORT:: 17092
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: f4m] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [OSMF] [INFO] [org.osmf.media.videoClasses.VideoSurface] switchRenderer. currentVideoRenderer = null; the new renderer = [object StageVideo] | DATE:: 2011-11-29 02:08:40.238249 | PORT:: 17092
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: f4m] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [videoView][DEBUG]initial seek: true   seeking to: 517   allowedSeek false media canSeek:false duration: NaN | DATE:: 2011-11-29 02:08:40.253234 | PORT:: 17092
