TICKET:: PmNgcEo6Lc | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 885][ft: SMIL] [curTime: 2423.07][curIndex: 0 of 2][Buffer: 41.542 of 20][isBuffering: false][BW: 239.09][Avg BW: 1034.68][Peak BW: 3721.37 : Estimated RAW Max Bytes Per Second: 417075.8620689655] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 46 > 24 | DATE:: 2011-12-07 21:10:41.993852 | PORT:: 17094
TICKET:: noX823PuLL | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 970][ft: SMIL] [curTime: 2425.67][curIndex: 0 of 2][Buffer: 35.907 of 20][isBuffering: false][BW: 250.17][Avg BW: 985.76][Peak BW: 4184.43 : Estimated RAW Max Bytes Per Second: 447083.6653386454] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 23 > 20 | DATE:: 2011-12-07 21:10:42.082820 | PORT:: 17094
TICKET:: LWTt2DswVD | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 858][ft: SMIL] [curTime: 2421.93][curIndex: 0 of 2][Buffer: 40.292 of 20][isBuffering: false][BW: 149.63][Avg BW: 962.24][Peak BW: 3830.05 : Estimated RAW Max Bytes Per Second: 379771.875] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 56 > 24 | DATE:: 2011-12-07 21:10:42.124482 | PORT:: 17094
TICKET:: BUVgA2ZShF | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1231][ft: SMIL] [curTime: 2430.38][curIndex: 0 of 2][Buffer: 580.621 of 20][isBuffering: false][BW: 199.00][Avg BW: 949.66][Peak BW: 3329.19 : Estimated RAW Max Bytes Per Second: 167832.39436619717] [videoView][DEBUG]Detected FPS <1 FPS zero count 3 currentFPS: 0.72 | DATE:: 2011-12-07 21:10:42.129258 | PORT:: 17094
TICKET:: 7KXgHeG88U | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 247][ft: SMIL] [curTime: 2412.02][curIndex: 0 of 2][Buffer: 24.417 of 20][isBuffering: false][BW: 971.24][Avg BW: 771.20][Peak BW: 1977.58 : Estimated RAW Max Bytes Per Second: 488214.85411140585] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 75 > 24 | DATE:: 2011-12-07 21:10:42.275453 | PORT:: 17094
TICKET:: Rna33p8QhV | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1314][ft: SMIL] [curTime: 2433.06][curIndex: 0 of 2][Buffer: 23.651 of 20][isBuffering: false][BW: 1373.55][Avg BW: 1181.64][Peak BW: 3556.66 : Estimated RAW Max Bytes Per Second: 463590.55118110235] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 55 > 24 | DATE:: 2011-12-07 21:10:42.320659 | PORT:: 17094
TICKET:: BUVgA2ZShF | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1232][ft: SMIL] [curTime: 2430.54][curIndex: 0 of 2][Buffer: 580.621 of 20][isBuffering: false][BW: 199.00][Avg BW: 949.66][Peak BW: 3329.19 : Estimated RAW Max Bytes Per Second: 167832.39436619717] [videoView][DEBUG]Detected FPS <1 FPS zero count 4 currentFPS: 0.76 | DATE:: 2011-12-07 21:10:42.335958 | PORT:: 17094
TICKET:: wqFpC42oZA | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 289][ft: SMIL] [curTime: 2413.21][curIndex: 0 of 2][Buffer: 272.842 of 20][isBuffering: false][BW: 1427.61][Avg BW: 1277.18][Peak BW: 1504.89 : Estimated RAW Max Bytes Per Second: 479616.79790026246] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 245 > 24 | DATE:: 2011-12-07 21:10:42.377521 | PORT:: 17094
TICKET:: kH4aUwuMSh | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 620][ft: SMIL] [curTime: 2422.82][curIndex: 0 of 2][Buffer: 29.954 of 20][isBuffering: false][BW: 1398.23][Avg BW: 1182.47][Peak BW: 3519.64 : Estimated RAW Max Bytes Per Second: 420126.76056338026] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 62 > 24 | DATE:: 2011-12-07 21:10:42.423860 | PORT:: 17094
TICKET:: yDmaMkWWNP | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 43][ft: SMIL] [curTime: 2399.88][curIndex: 0 of 2][Buffer: 35.208 of 20][isBuffering: false][BW: 696.32][Avg BW: 887.39][Peak BW: 1512.76 : Estimated RAW Max Bytes Per Second: 470148.24797843664] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 49 > 24 | DATE:: 2011-12-07 21:10:42.441150 | PORT:: 17094
